Title,Location,Company,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Human Capital Supervisor,Jawa Barat,,1 jam yang lalu,,"Recruitment:
Ensure timely and qualified recruitment to fulfill manpower needs.
Coordinate with the central recruitment team (if any) and department heads for candidate selection.
Conduct onboarding for new employees.
Employee & Industrial Relations:
Manage employee relations issues and maintain a positive work environment.
Foster constructive relationships with labor unions (if applicable) and ensure compliance with labor laws.
Handle disciplinary cases and mediate internal conflicts.
HR Administration:
Manage accurate and timely employee data, attendance, leave, transfers, and other personnel records.
Ensure proper documentation and legal compliance of employee files.
Support internal and external HR audits.
Compensation & Benefits:
Oversee overtime, incentives, allowances, and payroll-related matters.
Handle BPJS (social security) claims and other employee benefits.
Compliance & Policy Implementation:
Ensure adherence to company HR policies and labor regulations.
Communicate and socialize policies to all employees.",,,,
Field Marketing Supervisor - Jakarta South,Jakarta Selatan,PT Korea Tomorrow & Global Indonesia,5 jam yang lalu,,"Job Description :
Candidate must possess at least a Bachelor's Degree in any field.
Required language(s): Bahasa Indonesia, English.
At least 3 Year(s) of working experience as as Sales Supervisor in Tobacco Industry or FMCG. 
Required Skill(s): Administration and Management, Customer and Personal 
Service, Sales and Marketing, Coordination, Monitoring & Feedback, Planning & Organizing, Managing People.
Placement in Jakarta South.
 Job Responsibility:
Collect data related to geographical, cultural and demographic conditions (age range, profession, gender and culture) from targeted sales area to market the product. 
Establishment of measurement target for each sales (Daily/Weekly/Monthly).
Discover new customers (Coverage Extensions). 
Update and leverage sales activity assistance sheets. 
Management of same-day sales proceeds for each sales
Facilitates Field Execution.
Diagnoses the operation of sales activities based on plan and strengthens sales capabilities. 
Comprehensive status diagnosis & reporting (Performance, Field monitoring, Collection of information).
Carry out authorization function in the sales area as regulated in the document of Authorization Level. 
Supervise all activities in sales area so as to comply with the applicable procedures.",,,,
Digital Marketing Specialist,Jakarta Timur,Bhumi,27 hari yang lalu,Rp 7.500.000 – Rp 10.000.000 per month,"About the Job
BHUMI Skincare is looking for someone who is passionate about all things about marketing and technology. We will need you to put our brand in the digital world for marketing and maximize the Internet in growing revenue for our company. We want to have a strong knowledgeable person and expert in 360 marketing, especially in Digital.
Salary Range: IDR 7,500,000 – IDR 10,000,000 (net)
Benefits: BPJS Ketenagakerjaan, BPJS Kesehatan, and Tax (fully covered by the company)

Responsibilities:
Plan and monitor the ongoing company presence on social media based on the Digital Marketing Strategy
Launch optimized online advertising through Instagram, Youtube, Tiktok Ads, E-commerce Ads, etc. to increase brand awareness and generate Sales.
Planning, brainstorming, and executing marketing campaigns in Digital and ATL/BTL placements by working closely with our Creative team.
Gather insight, analysis, and reports for the Digital Marketing activity/trends and track the performance.
Handle marketing activations related to SEO and SEM in E-commerce
Measure the performance of digital marketing efforts using a variety of Web analytics tools (Google Analytics, WebTrends etc.)

Qualifications:
Bachelor’s Degree in any major is welcomed to apply
Mandatory at least 2 years of related work experience from an advertising agency or start-up specifically specializing in Digital Marketing/Ads/Performance Marketing
Experience with B2C social media, Google Adwords and email campaigns, and SEO/SEM
Working knowledge of ad serving tools in Social Media (Instagram Ads, Youtube Ads, Tiktok Ads, and E-Commerce Ads)
Knowledgeable in social media, platforms, and technologies
Ready and willing to work in a fast-paced start-up working environment
Having a strong analytical mindset and critical thinking",7500000.0,10000000.0,month,IDR
"Desk Collection, Operations, SeaBank",Jakarta Selatan,PT Bank Seabank Indonesia,8 hari yang lalu,,"Job Description:
Responsible for collection from customers for the non-performing loan portfolio under management via telephone
Performing duties for all debtor billing result
Updating all debtor billing results through daily reports
Following up on debtors who have under perform on non-performing loans
Working in a team and individual contributor

Requirements:
Minimum Diploma Degree in any field
Minimum 1 year of working experience in the related field
Experiences in the Banking industry are an advantage
Experiences in skip trace are a plus
Familiar with collection strategies and creative in negotiating repayment terms and methods.
Have good interpersonal skills
Able to work together with a team or Individual
Excellent communication skills both verbal and written",,,,
Outbound Document Staff,Jakarta Selatan,PT. Dynamic Container Lines (Wan Hai Lines (Singapore) PTE LTD),7 hari yang lalu,Rp 5.300.000 – Rp 6.500.000 per month,"Job Descriptions:
Processing and generate manifest data for submission to customs
Transfer data to Wan Hai Headquarter system
Preparation for issue Bill of Loading (B/L), certificate, etc related export
Prepare & ensure the accuracy of all documents required in export documentation
Able to have a good comunication and coordinate with related parties such as shipping companies, colleagues, Wan Hai agent, and customers
Requirements:
Bachelor’s / Diploma Degree from any major (Fresh Graduated are welcome)
Good skill in English both oral and written 
Computer literate particularly for Microsoft Office (Outlook, Word, Excel, Powerpoint)
Able to perform as team player,  fast learner, & highly motivated with excellent service attitude
Able for typing with speed and correct
Willing to take overtime if needed",5300000.0,6500000.0,month,IDR
Production Support – Marunda – WFO (ID: 683412),Bekasi,PT. PERSOLKELLY Recruitment Indonesia,13 hari yang lalu,,"Position : Production Support
Location : Bekasi (Marunda)
 Responsibilities :
·    Support Production Supervisor to manage production consumables                  
·    Support Production Supervisor to manage production consumable item, training and audit preparation                       
·    Support Production Supervisor on audit program/project/initiative implementation based on plant direction                                                     
·    Support Production Supervisor on Purchase Requisition / Purchase Order process            
·    Collaborate with SPV and Team Lead to Analyze and Monitor Flush                   
·    Collaborate with SPV and Team Lead to Analyze and Monitor Plant OEE
Qualifications:
·    Minimum Diploma/Bachelor’s degree from any relevant major.
·    At least 1 years of experience Inventory management; Production Support; Administration
·    Familiar with production planning, forecasting, and inventory stock calculations
·    Understand warehousing terms (FIFO/FEFO, Stock Calculation, Reorder point, Safety stock, etc.)
·    Understand with manufacturing terms (HSSE, OEE, Continuous Improvement, Audit, etc.)
·    Familiar with production documents according to ISO standards (SOP, WI, Form)
·    Able to communicate and maintain good relationships with suppliers
·    Familiar with ERP and have at least intermediate level of Ms. Office skills (Word, Excel, PPT)",,,,
Inventory Control,Jakarta Barat,PT Jui Shin Indonesia (Semen Garuda),2 hari yang lalu,,"Responsibilities:
Monitor and maintain accurate inventory records
Perform regular stock takes and reconcile discrepancies
Coordinate with warehouse, purchasing, and operations teams
Track incoming and outgoing goods
Analyze inventory reports and suggest improvements
Ensure proper storage, labeling, and organization of stock
Assist in inventory forecasting and stock level planning

Requirements:
Bachelor Degree in any major with minimum GPA 3.00
Open for fresh graduate with Industrial Engineering Background
Proven experience in inventory control, stock management, or related field
Strong attention to detail and numerical accuracy
Familiarity with inventory software or ERP systems
Able to work Monday–Saturday
Willing to Business Trip",,,,
Quality Control Inspector,Cikarang,PT. BESMINDOTAMA SEMESTA,12 hari yang lalu,,"About the role

As a Quality Control Inspector at PT. BESMINDOTAMA SEMESTA', you will play a crucial role in ensuring the highest standards of quality and safety for our manufactured products. This full-time position is based in Bekasi, West Java, where you will be responsible for inspecting, testing, and monitoring the production process to identify and resolve any quality issues.
Requirements :
Minimum Diploma/Associate Degree or equivalent preferably in technical graduate with minimum 1 year experience. Fresh Graduate are welcome to apply
Familiar to use inspection, measuring and test equipment.
Able to communicate and read in English moderately.
Able to read engineering drawing.
Computer literate.
Familiar with NDT and/or welding process
Job Descriptions :
Performs incoming, in-process, and final inspection
Maintain quality standards & compliance
Familiar to use measuring, inspection, and test equipment
Issues nonconformance related to product

We encourage applications from candidates with a disability. If you require any adjustments or alternate formats of key information at any stage of the recruitment process, please don't hesitate to let us know.
Apply now for this exciting opportunity to join our team as a Quality Control Inspector at PT. BESMINDOTAMA SEMESTA'.",,,,
QC Officer (Cikereteg),Bogor,"PT SMART,Tbk",16 hari yang lalu,,"Job Descripton Summary:
Supervise and verify the implementation of the Quality and Food Safety Management System in the factory, starting from raw materials, production processes to final products to ensure that they always comply with the standards.

Job Description: 
1. Conduct supervision and verification of the implementation of the Food Quality and Safety System in the Factory so that the products produced meet the standards set by the Company.
2. Conduct periodic checks on reports provided by the QC Analyst Microbiology, Incoming Material, In-Process Control and Chemical Physics teams and report to the QC Section Head.
3. Coordinate with shift production in case there is a process / product that does not match the standard quality.
4. Conducting checks and collecting data related to product complaints to take corrective action.
5. Conduct supervision over the implementation of recommendations for improving the Food Quality and Safety System.
6. Coordinate, implement and evaluate 5R and Safety programs to ensure work safety, cleanliness and comfort of the work environment.
7. Report QC results in shifts to QC Section Head.

Job Requirement:
 Min. Formal education S1 Chemistry Engineering, Biology, Chemical Engineering and Food Science
Min. experience ±2 years as a QC in Manufacture Company
Placement: Cikereteg, Bogor

“Our company has never levied any fees for recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person”",,,,
Young Professionals Fast Track,Jakarta Selatan,Deliveree (PT Angkut Teknologi Indonesia),7 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month","If you just click apply, you will not receive a response. You must follow the instructions below under 'how to apply' for our team to review and respond to your application. Complete and qualified applications receive a response within 24 hours.
SUMMARY OF OPPORTUNITY
Position: Young Professionals Fast Track
Location: Jakarta, Surabaya, Bandung, Semarang, Yogyakarta, Medan, Lampung, or Batam
Deliveree is seeking ambitious, hard working, and career-focused candidates with 6-24 months of full-time prior working experience (contract work is acceptable). All types of working experience are welcome to apply. We accept candidates with any kind of work experience and in any kind of company.
To qualify, you must have a strong interest in business or operations in a logistics technology environment. You must be willing to work very hard in a fast moving, accelerated environment with your career development as your top priority.
When you interview with us, you will be considered for assignment in several possible departments including: enterprise sales, digital marketing, operational excellence, supply chain management, booking operations, fleet training, fleet recruiting, telemarketing, finance, human resources, and administration.
You are encouraged to rotate to new departments once you have mastered your current assignment (this usually takes 2 years). While we expect you to be mobile and able to travel, your home base will be either our Jakarta HQ or satellite offices in Surabaya, Bandung, Semarang, Yogyakarta, Medan, or Lampung.
If this description excites you, please read our qualification requirements below and then follow the instructions carefully under HOW TO APPLY.
QUALIFICATIONS
Undergraduate GPA 3.0 or higher
6-24 months of full-time work experience (contract work is acceptable)
Excellent English skills
Excellent speaking and writing skills
Self-motivated, independent, and hard-working
Strong reasoning, logic, and analysis skills
BENEFITS
Competitive monthly salary
Merit-based promotions
Full private healthcare coverage
Annual paid leave
13th-month bonus
Remote working for 6 weeks every year. Available during Ramadan and Christmas
HOW TO APPLY
Submit the below items via email to christine/at/deliveree/dot/com - If you submit all the required materials and your qualifications fit our search, you will hear back from us within 24 hours.
Brief cover email
PDF resume
Completed pre-interview form
University grades or transcript
Download Pre-Interview Form: dlvr.ee/YoungProfessionals",6000000.0,9000000.0,month,IDR
Hotel Manager,Cisarua,Taman Safari Indonesia,27 hari yang lalu,,"Job Responsibilities:
·         Manage and supervise the all team at resort hotel (Front Office, Housekeeping, Engineering, etc)
·         Ensure all operational doing smooth and minimize hard complain from customer
·         Train, motivate, evaluate front office staff, and conduct regular performance reviews and provide coaching for staff development
·         Oversee reservation procedures, manage room availability, and review guest billing and ensure accuracy of charges
·         Ensure compliance with all company policies, health and safety regulations, and industry standards
·         Handle administrative duties such as reporting, managing supplies, and coordinating with other departments (e.g., housekeeping, maintenance, etc.)
·         Monitoring shift reports, including revenue, occupancy, and guest feedback
·         Handle difficult or escalated situations involving guests, employees, or operations
·         Develop and implement solutions to resolve any issues promptly.
·         Use front office software (e.g., VHP systems) for check-in/check-out, room assignments, billing, and reporting.

Job Requirements:
·         Bachelor's degree in Hospitality Management preferred
·         Minimum of 2-3 years of experience as Hotel Manager, Room Division Manager or requivalent
·         Strong leadership and interpersonal skills
·         Excellent communication skills, both written and verbal
·         Ability to handle multiple tasks and work under pressure
·         Proficiency in front office software and Microsoft Office Suite
·         Having Certification in hospitality management or related field more preffered
·         Ability to stand for long periods of time
·         Willing to be placed at Cisarua, Bogor",,,,
Senior Compensation & Benefit,Bogor,"Lembaga Pengkajian Pangan, Obat-Obatan dan Kosmetika MUI",19 hari yang lalu,,"About the role

We are looking for an experienced Senior Compensation & Benefit to refine our compensation and benefits strategies. The successful candidate will play a pivotal role in aligning total rewards approach with strategic business objectives while also promoting internal equity and enhancing employee engagement.

Key Responsibilities
Strategically manage compensation & benefit plans to enhance employee engagement and well-being, driving continuous improvement and cost-effectiveness, in accordance with laws and regulations.
Utilize data analytics to inform strategic decisions and provide actionable insights to top management, related to total reward management.
Recommend initiatives to assess and maintain internal equity, ensuring all employees are compensated fairly based on performance, role, and market conditions.
Develop and execute compensation strategies that attract and retain top talent, ensuring alignment with the company's long-term business goals and financial objectives.
Stay updated to market trends and conduct in-depth analyses in total rewards area, bridging the organizational positioning objectives and market competitiveness.
Act as a liaison between management and employees to address workplace issues effectively.
Ensure compliance with labor laws, regulations, and company policies.
 Qualifications
Bachelor’s degree in Accounting, Human Resources Management or a related field. Any related certifications like CCBO or CHRP are highly desirable.
At least 4 years of experience in compensation and benefits, with a proven track record of implementing innovative and impactful policies.
Strong knowledge of labor laws and regulations.
Having experiences in implementation of salary benchmarking survey, or remuneration and salary trends (such as Mercer, Hays, etc). 
Comprehensive understanding of total rewards framework, best practices, and regulatory compliance.
Excellent communication and influencing skills, with the commitment to actively listen and deliver excellent services towards customer, while effectively engaging and persuading stakeholders at top management levels.
 Why You Have to Work With Us ?
Strategic Impact: Be part of a team that shapes the future of our organization through talent management.
Professional Growth: Take advantage of professional development opportunities and a supportive work environment dedicated to your success.
Benefit & Perks: We offer hybrid working and competitive salary, sports facility (eg : gym, e-sports, etc), medical benefit (including mental health support), lunch, miscellaneous allowances, and religious culture.
 About us

We are the leading Halal Inspection Body in Indonesia. For over 36 years, we have served as a strategic partner to society, particularly business actors ranging from micro, small, medium, to large enterprises, in ensuring the halal compliance of food, beverage, cosmetic, and pharmaceutical products in accordance with Halal Product Assurance System principles and applicable regulations.
If you are interested in this role and believe you have the skills and experience to excel in this position, we encourage you to apply now.",,,,
Teknisi Riset,Bogor,"PT SMART,Tbk",7 hari yang lalu,,"Job Description Summary:
Performs experiments, prepares samples, and analyzes data in a laboratory. Also maintain equipment, monitor inventory, and ensure quality control.

Job Description:
Receive, catalog, and prepare samples
Perform tests on prepared samples
Handle biochemical substances carefully
Clean and set up laboratory equipment
Monitor inventory and supplies
Record observations and notes
Analyze experimental data and interpret results
Write reports and maintain detailed records
Follow SOPs to complete laboratory processes and experiments
Provide feedback and basic troubleshooting

Job Requirements:
Diploma/Bachelor's Degree in Biology/Biotechnology would be preferred
At least 1 year of working experience in related field, fresh graduates are welcome to apply
Willing to be located in Sentul, Bogor

“Our company has never levied any fees for recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person”",,,,
Secretary (Sentul Placement),Bogor,"PT SMART,Tbk",23 hari yang lalu,,"Job Descriptions Summary:
 Provide comprehensive administrative and clerical support, managing schedules, correspondence, office operations, and travel arrangements to ensure organizational efficiency.

Job Descriptions:
Provide administrative and clerical support to departments or individuals, including scheduling meetings, managing travel arrangements, and preparing reports.
Handle correspondence, mail, and information requests, including preparing and managing confidential documents.
Greet visitors, manage phone calls, and direct inquiries to appropriate staff.
Coordinate office management activities, maintain office procedures, and ensure efficient filing systems (both hard copy and electronic).
Assist in preparing agendas, taking dictation, transcribing notes, and supporting meetings.
Manage budgets, plan events, and oversee volunteer activities.
Operate office equipment and coordinate logistics for outgoing mail and packages.
Relay directives and assignments to team members, and assist in travel itinerary preparation and record-keeping.
Support committees, task forces, and special projects as needed.
Conduct website/Newsletter/Scientific Journal searches, and Reports

Job Qualifications:
Minimum Diploma Degree from Secretarial Academy or Bachelor Degree from any equivalent reputable university with min GPA 3.00
Proven working experience of at least 1 years as Secretary / Personal Assistant
Fluent in English both spoken and written
Proficiency in Ms Office (Word, Excel, PowerPoint, Outlook, etc)
High degree of multi-tasking and time management skills
Organized, detailed, quick, flexible, communicative, and confident
Willing to be placed in Sentul, Bogor (Our Office Lab)

""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",,,,
"Sales Store - Jewellery Representative (Frank & Co, The Palace) - Sentul & Bogor",Bogor,PT Central Mega Kencana,9 hari yang lalu,,"Benefit:
Competitive Salary
Meal allowance
Incentive (monthly, yearly)
Uniform, grooming tools
Training
Career growth

Job description:
Sales Marketing
Service customer
Achieve selling target
Handling complains

Requirement:
Candidate must possess at least Diploma III or Bachelor degree in any field
Has experience in sales marketing or fashion retail (fresh graduates are welcome to apply)
Willing to work under a shifting schedule (including weekend and public holidays)
Good communication in English will be an advantage
Can join immediately
Placement: AEON Sentul & Botani Square Bogor",,,,
Human Capital Supervisor,Jawa Barat,,1 jam yang lalu,,"Recruitment:
Ensure timely and qualified recruitment to fulfill manpower needs.
Coordinate with the central recruitment team (if any) and department heads for candidate selection.
Conduct onboarding for new employees.
Employee & Industrial Relations:
Manage employee relations issues and maintain a positive work environment.
Foster constructive relationships with labor unions (if applicable) and ensure compliance with labor laws.
Handle disciplinary cases and mediate internal conflicts.
HR Administration:
Manage accurate and timely employee data, attendance, leave, transfers, and other personnel records.
Ensure proper documentation and legal compliance of employee files.
Support internal and external HR audits.
Compensation & Benefits:
Oversee overtime, incentives, allowances, and payroll-related matters.
Handle BPJS (social security) claims and other employee benefits.
Compliance & Policy Implementation:
Ensure adherence to company HR policies and labor regulations.
Communicate and socialize policies to all employees.",,,,
Production Supervisor,Citeureup,PT Ecolab International Indonesia,21 hari yang lalu,,"Responsibility:
Responsible for first-line leadership and coaching of the work unit to meet production schedules with safety first
Enforcing safety procedures and standards are followed, promoting safe working conditions and reporting any safety concerns
Participates in product cost improvement; controls quality and yields; plans production activities;
Implement TPM & continuous improvement activities on shopfloor and positive employee relations.
Follows quality control guidelines and procedures to ensure that raw materials and finished goods comply with engineering and product specifications
Requirement:
University degree in Chemical Engineering, Chemistry, Mechanical Engineering and Industrial Engineering background
Experience on managing manufacturing with chemical reaction processes with a minimum of 5 years at the production leader level
Have a strong background or experience in managing chemical reactions/products
Ability to perform hazard identification and risk assessment on production processes
Good in English and having a strong desire to learn new things
Experience in Lean/5S/6 Sigma/TPM/ SAP is an added advantage
Knowledge of the financial measurements of Manufacturing
Willing to be placed in West Java",,,,
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,9 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month","Position Summary
We are looking for a dedicated and detail-oriented freight Customer Service Senior to join our dynamic team. The ideal candidate will possess a strong background in freight forwarding and a passion for delivering exceptional customer service. This role involves managing customer inquiries, coordinating and handling airfreight (Main focus) and oceanfreight shipments from end to end, and ensuring timely and accurate communication with clients and internal teams.
 Customer Support
- Act as the primary point of contact for customers regarding the inquiries and shipments.
- Address customer questions and issues promptly, ensuring high levels of satisfaction.
Shipment Coordination
- Manage the logistics of airfreight and oceanfreight shipments, including booking, tracking, and documentation.
- Collaborate with carriers, customs brokers, and other stakeholders to ensure timely deliveries.
Problem Solving
- Identify and resolve any issues that arise during the shipping process, proactively communicating with customers about any delays or changes.
- Utilize critical thinking to find effective solutions for customer needs.
Documentation and Compliance
- Prepare and handle all hands-on documentation from end to end, to ensure compliance with international regulations and company policies.
- Maintain accurate records of all transactions and communications related to airfreight and oceanfreight shipments.
Collaboration
- Work closely with the teams to provide a seamless customer experience.
- Assist in the development of operational improvements to enhance service delivery.
Performance Tracking
- Monitor customer feedback and service metrics, contributing to the continuous improvement of processes and procedures.
  Qualifications
- Degree in Logistics, or a related field preferred.
- Minimum of 3 years of experience in air freight forwarding export and import operation. Lastest working experience is freight forwarder.
- Strong master of air freight forwarding operations, documentation handling, regulations, and industry practices. 
- Excellent communication skills, both verbal and written, with a strong customer service orientation.
- Detail-oriented with strong organizational and multitasking abilities.
- Proficiency in freight forwarding software (specifically Cargowise) and Microsoft Office Suite.
 What We Offer
- Competitive salary and promotion package.
- Opportunities for rapid business development and career growth.
- A collaborative and supportive work environment.",8000000.0,12000000.0,month,IDR
Driver,Kabupaten Bogor,"PT SMART,Tbk",29 hari yang lalu,,"Job Description Summary :
Supporting company mobility and operations and ensuring vehicles.

Job Description :
Serving company mobilization (pick up and drop off guests)
Maintaining and caring for cars
Courier (delivering documents and goods)
Preparing travel administration reports

Job Requirement :
Min SMA / Diploma 3 in any field
Have SIM A or B1
Have experience driving Manual & Automatic Cars (MPV, Box, and Pick up)
Experience as a Driver for at least 3 years
Willing to be located in Sentul, Bogor

""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person” 
 ",,,,
"Teacher cum Teaching Assistant (Jabotabek, Surabaya and Bali)",Bogor,Yayasan Akademi Anak Indonesia (Kipina Kids Indonesia),29 hari yang lalu,,"Requirement:
Teachers and Teaching Assistants are expected to have passion for developing, motivating and stimulating young people.
Teachers must have Bachelor’s Degree, preferably degree in Psychology/Early Childhood Education/English Literature with at least 5 years of teaching experience in an Early Childhood Education environment.
Teaching Assistants must have 2 years of prior experience preferably in Early Childhood Education, hold a Bachelor’s Degree in any major, enjoy working with children, able to communicate fluently in English.
You must be fluent in both written and spoken English.
You must be equipped with the personality to work in dynamic environments and deal with all kinds of behaviors in a patient and loving manner. Patience, discipline, a sense of adventure and a life-long learning spirit are a must.
You are also expected to be actively involved in programs and events and undergo some training and certification programs.
Placement : Gading Serpong, Puri, Kelapa Gading, Kemang, Bekasi, Surabaya and Bali",,,,
Store Expansion Staff,Bogor,PT Asthanesia Global Investama,23 hari yang lalu,,"Job Description :
Conduct site surveys to identify potential locations in line with management briefs.
Collect and analyze data on traffic, demographics, and surrounding areas.
Prepare supporting documents for lease negotiation and agreement processes.
Coordinate with vendors, contractors, and internal teams to support store opening preparations.
Assist in monitoring store opening timelines and installation progress.
Prepare survey reports and progress updates on store openings to the Store Expansion Manager.

Qualification :
Bachelor’s degree in any major.
Minimum of 2–3 years of experience in retail/F&B expansion or property marketing.
Familiar with site survey processes and basic traffic/demographic analysis.
Strong communication and negotiation skills.
Ability to work mobile and accustomed to frequent business travel.
Detail-oriented, well-organized, and able to work effectively in a team.",,,,
Relationship Manager Business,Bogor,"PT Bank Permata, Tbk",21 hari yang lalu,,"Company Description :
We are one of the top 10 biggest banks in terms of assets in Indonesia and listed in the indonesia Stock Exchange, that offer banking products and services that help people and companies to succeed, creating wealth and growth through our Retail Banking, SME and Wholesale businesses.
Why PermataBank ?
Here at PermataBank, you will Learn, Grow, and Make A Difference,
You will have the appetite and the ability to learn many things, challenged to grow beyond ways you can imagine, and see the incredible difference you would have made along the journey.
This is our platform for you. We cannot promise a smooth ride, but rest assured, it is going to be a meaningful journey!
·       Learn : We always think innovatively to improve the way we work, making it easier, better and faster.
·       Grow : We provide excellent service to customers and encourage excellent performance in our daily work.
·       Make a difference : We understand each other and together build strong relationships with internal and external parties based on mutual respect.
Job Description:
·       Prospect new customers for the corporate segment to increase the banks's corporate segment portfolio
·       Build relationship to corporate customers and conduct in-depth research to develop the customer porfolio at the bank
·       Identify and explore the needs of corporate customers and provide appropriate banking product solution (saving, cash management, wealth management, etc)
·       Collaborate with other segment and bulid a network to penetrate all customer needs both in term of individual retail, loans, and other needs
Job Requirements:
·       Minimum Bachelor's Degree in any major
·       Min >3 years experience as Relationship Manager
·       Good knowledge of banking funding/wealth management products and services
·       Well developed interpersonal, relationship and communication skills
·       Good at selling/influencing
·       AAJI & WPPE certified is advantage



PT Bank Permata Tbk hereby informs that the company does not impose any charges in the employee recruitment process.",,,,
Packaging Development Senior Technologist,Bogor,"PT SMART,Tbk",13 hari yang lalu,,"Job Description Summary :
Responsible for designing, testing, and implementing packaging designs that are integral to the Product Development process
Job Description :
Perform the creation of packaging designs, prototype development, and performance testing
Troubleshoot new and existing packaging problems involving designs, materials and processes and provide creative, timely, and cost-effective solutions
Analyze engineering drawings and specifications of product to determine physical characteristics of item, special handling, environmental and safety requirements, and types of materials required for packaging
Work closely with suppliers, project engineers, quality, manufacturing, and procurement
Participate in product introduction teams to deliver new products to market
Identify and implement cost saving initiatives related to packaging materials, labor, efficiency, transportation, and storage
Specify and recommend efficiency tools and test methods to develop and validate packaging designs
Work with the manufacturing department to ensure that the packaging designs are optimized for manufacturability
Develop and implement comprehensive test plans to ensure that packaging meet customer specifications

Job Requirement :
Min Bachelor Degree in Industrial Engineering or equivalent
Having min 3 years of working experience in related fields
Good in analytical thinking
Fluent in English
Willing to be located in Ciherang

""Our company has never levied any fees for the recruitment process, nor has it required to order tickets and accommodation through a certain travel agent or certain person""",,,,
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,13 hari yang lalu,,"Job Requirement:

Minimal Diploma/ Bachelor’s Degree in Logistics, Transportation, or any other related field
Experience of at least 1–3 years in the industry (sea freight)
Proficiency in English (oral & written) & Computer (Word, Excel, E-mail)
Well understand and have knowledge of the export process and documents
Great personality and communication skills
Meticulous
Able to work independently and in teamwork, energetic, enthusiastic, and has high initiative
Willing to comply with applicable company regulations
Having experience in a freight forwarding company or a Multinational company is a plus
Quick critical thinking and problem-solving abilities
Ability to work in a fast-paced environment
Understanding of the supply chain, including common obstacles and effective solutions
Placement in South Jakarta
Job Responsibility:
Handling bookings & other related operational/documentation fields of Export shipments.
Build and maintain strong relationships with vendors, customers, and regional offices along with, resolving issues, and ensuring their satisfaction by complying with the SOP.
Perform administrative tasks related to shipments, such as preparing documents and coordinating with relevant parties.
Creating Vendor Invoice & Customer Invoice.",,,,
Spare Parts Sales Administration Staff,Depok,,15 hari yang lalu,,"Responsibilities
Processing order estimation for dealer as necessary including order type, delivery time, delivery mode and other specific term as necessary.
Issuing and monitoring picking slip, packing slip, surat jalan and invoice
Collecting forwarder consignee note and invoice to be updated to system
Updating additional fee as necessary to invoice
Handling return and other abnormal transaction
Reviewing overall dealer back order and follow up until finish
Review incoming back orders from dealers including order type, due date setup, shipping address and supply parameters including monitoring delay
Monitor dealer payment to agreed payment due date related to spare parts sales
Maintain spare parts department document storage including SOP, memo, spare parts information, purchase order, customer/control order, estimate, invoices, bank transfer, credit/debit note, borrow sheets, stock taking and delivery sheet
Providing report to accounting for spare parts sales, cost or any spare parts information needed by accounting department
Collect and monitoring inbound, outbound freight, and other expenses of spare parts
Maintaining stock taking record
Any other duties within the Spare parts Department as assigned by Management.

Competencies Required
Experience as administrator
Hands on experience in Ms. Office
Understanding sales process
Multitasking skill
Good in communication and interpersonal skill both internal and external parties
Customer focus – Has a focus on understanding, satisfying and delivering value to external and/or internal customers. Willing to put in effort to listen and work successfully with customers to achieve “win-win” outcomes.
Integrity, transparency and professional attitude to reflecting professional company image
Teamwork – Ability to work cooperatively as a team and stay committed together on the task at hand. Ability to develop and maintain good working relationships with others.
Understand safety working environment
Self-initiative and attention to detail

Knowledge and Experience Required
Diploma or degree in Business Management, Business Administration, Marketing or in relevant fields
Minimum of 2-years’ experience in direct sales functions.
Strong sales project management experience.
Proficient in Microsoft Office (Word, Excel and PowerPoint)
Good knowledge of Sales policies and regulations in Indonesia
Familiar with local government rules and regulations
Prior experience in Manufacturing or Machinery Industry will be an added advantage",,,,
Digital Marketing Manager,Ciracas,PT Eka Bogainti,15 hari yang lalu,,"Job Description:
Developing and executing comprehensive digital marketing campaigns across various channels, including social media, search engine optimisation (SEO), search engine marketing (SEM), email marketing, and content marketing
Analysing and interpreting data to optimise digital marketing campaigns and measure performance
Collaborating with cross-functional teams to ensure the alignment of digital marketing initiatives with the overall business objectives
Staying up-to-date with the latest digital marketing trends and best practices, and implementing innovative strategies to stay ahead of the competition
Managing and optimising the company's website and online presence to enhance user experience and drive conversions
Monitoring and reporting on digital marketing performance, providing insights and recommendations for continuous improvement
Job Requirement:
Bachelor Degree from any major
Minimum 5 years of experience as Digital Marketing Manager with a proven track record of delivering successful campaigns
Proficient in executing and optimising digital marketing strategies across various channels, including social media, SEO, SEM, email, and content marketing
Willing to work at Ciracas",,,,
